Date,Open,High,Low,Close,Adj Close,Volume
2015-08-18,null,null,null,null,null,null
2015-08-19,null,null,null,null,null,null
2015-08-20,null,null,null,null,null,null
2015-08-21,null,null,null,null,null,null
2015-08-24,null,null,null,null,null,null
2015-08-25,45440.000000,46711.898438,44560.000000,46000.000000,44844.609375,38590
2015-08-26,44920.000000,45190.000000,44500.000000,44580.000000,43460.277344,32111
2015-08-27,45100.000000,45790.000000,44580.000000,45710.000000,44561.898438,83370
2015-08-28,46100.000000,46350.000000,45513.000000,46150.000000,44990.843750,16607
2015-09-01,46440.000000,46560.000000,45570.000000,45620.000000,44474.152344,54533
2015-09-02,45900.000000,46310.000000,45620.000000,45850.000000,44698.378906,23844
2015-09-03,47000.000000,47500.000000,46850.000000,47500.000000,46306.937500,32299
2015-09-04,47200.000000,47470.000000,46720.000000,46720.000000,45546.527344,29262
2015-09-07,46060.000000,46530.000000,45790.000000,46050.000000,44893.351563,7710
2015-09-08,46900.000000,47500.000000,46730.000000,46870.000000,45692.761719,33915
2015-09-09,48470.000000,48470.000000,47720.000000,47720.000000,46521.414063,39560
2015-09-10,47360.000000,47640.000000,46920.500000,47490.000000,46297.191406,14906
2015-09-11,46810.000000,47600.000000,46800.000000,47200.000000,46014.468750,10694
2015-09-14,47070.000000,47500.000000,47050.000000,47394.300781,46203.890625,9919
2015-09-15,47060.000000,47710.000000,47060.000000,47250.000000,46063.210938,35545
2015-09-16,48900.000000,49200.000000,48900.000000,49120.000000,47886.242188,25226
2015-09-17,49350.000000,49370.000000,49090.000000,49370.000000,48129.968750,30967
2015-09-18,50800.000000,51000.000000,49920.000000,50200.000000,48939.121094,32091
2015-09-21,48820.000000,49437.601563,48800.000000,49270.000000,48032.476563,26785
2015-09-22,48380.000000,48630.000000,47650.000000,47850.000000,46648.148438,16174
2015-09-23,47480.000000,47920.000000,47480.000000,47520.000000,46326.433594,20010
