상상인이안제2호스팩,329560,금융 지원 서비스업,2019-08-30,12
네오크레마,311390,기타 식품 제조업,2019-08-22,12
마니커에프앤지,195500,도축| 육류 가공 및 저장 처리업,2019-08-20,12
미래에셋대우스팩3호,328380,금융 지원 서비스업,2019-08-20,12
나노브릭,286750,기초 화학물질 제조업,2019-08-19,12
에스피시스템스,317830,특수 목적용 기계 제조업,2019-08-14,12
레이,228670,의료용 기기 제조업,2019-08-08,12
그린플러스,186230,1차 비철금속 제조업,2019-08-07,12
케어룸의료산업,327970,의료용 기기 제조업,2019-08-05,12
코윈테크,282880,특수 목적용 기계 제조업,2019-08-05,12
덕산테코피아,317330,기타 화학제품 제조업,2019-08-02,12
슈프리마아이디,317770,전자부품 제조업,2019-08-01,12
한국바이오젠,318000,합성고무 및 플라스틱 물질 제조업,2019-08-01,12
세경하이테크,148150,전자부품 제조업,2019-07-30,12
윌링스,313760,전동기| 발전기 및 전기 변환 · 공급 · 제어 장치 제조업,2019-07-25,12
대모,317850,특수 목적용 기계 제조업,2019-07-24,12
에이스토리,241840,영화| 비디오물| 방송프로그램 제작 및 배급업,2019-07-19,12
플리토,300080,자료처리| 호스팅| 포털 및 기타 인터넷 정보매개 서비스업,2019-07-17,12
이베스트이안스팩1호,323210,금융 지원 서비스업,2019-07-15,12
구스앤홈,329050,직물직조 및 직물제품 제조업,2019-07-12,12
세틀뱅크,234340,기타 정보 서비스업,2019-07-12,12
아이스크림에듀,289010,서적| 잡지 및 기타 인쇄물 출판업,2019-07-11,12
펨토바이오메드,327610,자연과학 및 공학 연구개발업,2019-07-10,12
펌텍코리아,251970,플라스틱제품 제조업,2019-07-04,12
에이에프더블류,312610,일차전지 및 축전지 제조업,2019-07-01,12
티티씨디펜스,309900,그외 기타 전문| 과학 및 기술 서비스업,2019-06-27,12
신영스팩5호,323280,금융 지원 서비스업,2019-06-24,12
케이비제18호스팩,323940,금융 지원 서비스업,2019-06-24,12
신한제5호스팩,323230,금융 지원 서비스업,2019-06-19,12
압타바이오,293780,자연과학 및 공학 연구개발업,2019-06-12,12
까스텔바작,308100,섬유| 의복| 신발 및 가죽제품 소매업,2019-06-10,12
마이크로디지탈,305090,의료용 기기 제조업,2019-06-05,12
원바이오젠,278380,의료용품 및 기타 의약 관련제품 제조업,2019-06-03,12
DB금융스팩7호,322780,금융 지원 서비스업,2019-05-31,12
유진스팩4호,321260,금융 지원 서비스업,2019-05-31,12
포스코케미칼,003670,내화| 비내화 요업제품 제조업,2019-05-29,12
수젠텍,253840,의료용품 및 기타 의약 관련제품 제조업,2019-05-28,12
컴퍼니케이,307930,기타 금융업,2019-05-23,12
다원넥스뷰,323350,사진장비 및 광학기기 제조업,2019-05-21,12
피에스케이,319660,특수 목적용 기계 제조업,2019-05-10,12
엔에이치스팩14호,319400,금융 지원 서비스업,2019-05-08,12
SNK,950180,소프트웨어 개발 및 공급업,2019-05-07,7
한화에스비아이스팩,317320,금융 지원 서비스업,2019-05-03,12
하이제4호스팩,317240,금융 지원 서비스업,2019-04-29,12
이노벡스,279060,전자부품 제조업,2019-04-12,12
아모그린텍,125210,전자부품 제조업,2019-03-29,12
현대오토에버,307950,소프트웨어 개발 및 공급업,2019-03-28,12
지노믹트리,228760,의료용품 및 기타 의약 관련제품 제조업,2019-03-27,12
케이비17호스팩,317030,금융 지원 서비스업,2019-03-27,12
이지케어텍,099750,소프트웨어 개발 및 공급업,2019-03-22,3
유안타제4호스팩,313750,금융 지원 서비스업,2019-03-21,12
미래에셋벤처투자,100790,기타 금융업,2019-03-15,12
드림텍,192650,전자부품 제조업,2019-03-14,12
더블유게임즈,192080,소프트웨어 개발 및 공급업,2019-03-12,12
에코프로비엠,247540,일차전지 및 축전지 제조업,2019-03-05,12
셀리드,299660,자연과학 및 공학 연구개발업,2019-02-20,12
우리금융지주,316140,기타 금융업,2019-02-13,12
천보,278280,기초 화학물질 제조업,2019-02-11,12
이노테라피,246960,의료용품 및 기타 의약 관련제품 제조업,2019-02-01,12
노랑풍선,104620,여행사 및 기타 여행보조 서비스업,2019-01-30,12
웹케시,053580,소프트웨어 개발 및 공급업,2019-01-25,12
